fileID,f1,f2,vot,notes
ne03_taka1,861.99,1738.56,27.88,NA
ne03_taka2,854.23,1569.75,20.49,NA
ne03_teke,577.66,1482.96,48.22,NA
ne03_teke1,572.71,1859.42,37.94,NA
ne03_teke2,568.39,1658.09,38.25,NA
ne03_tiki,377.93,2788.56,50.52,NA
ne03_tiki1,376.5,1583.71,77.84,NA
ne03_tiki2,409.19,1777.21,39.29,NA
ne03_toko,613.94,1104.75,42.69,NA
ne03_toko1,615.9,1189.71,43.64,NA
ne03_toko2,525.5,1035.83,33.39,NA
ne03_tuku,445.66,1095.93,54.45,NA
ne03_tuku1,428.09,1051.65,65.09,NA
ne03_tuku2,470.54,1127.6,53.93,NA
